Site,Latitude,Longitude,RowcropPrp,CRPPrp,Native,RowcropTE,CRPTE,SHDI,StreamsDist,StreamDensity,LoamyTablePct2k,DaysActive3yr,LagObs,Richness3yr
298,37.062629,-101.889098,0.067086704,0.269277583,0.317963772,10260,21900,1.768613753,255.193323,30.43461,0,55,0,1
299,37.73649241,-101.4909002,0.530634181,0.083195987,0.046578287,54120,15060,1.51564514,549.696296,36.48314,0.928418,67,6,3
300,39.610744,-100.201925,0.26667623,0.091163391,0.470520729,43680,28920,1.880917685,44.522916,93.28038,0,76,1,3
301,39.01268036,-101.6281029,0.125975793,0.224235479,0.605314044,15960,13500,1.689571287,509.489697,91.56334,0.521656,82,0,1
302,38.43655469,-101.9464828,0.557090701,0,0.001932851,47580,0,1.165340546,1800.270752,17.26333,0.894681,28,5,3
303,37.171939,-99.885936,0.247723525,0.172223417,0.518749552,19920,12630,1.726238448,470.765168,104.7121,0,67,7,4
304,38.38480341,-100.7591649,0.6640625,0.048236812,0.020355505,58950,3300,1.280822335,3452.624981,25.44945,0.496444,83,66,5
305,38.041783,-99.833272,0.057140809,0,0.798394035,9900,0,1.616871596,148.584642,104.9282,0,84,18,3
306,39.164085,-101.242622,0.585984523,0,0.270564632,56040,0,1.50781961,88.482418,62.94891,0.720714,68,7,4
307,39.812645,-100.64665,0.498424069,0,0.30952722,55320,0,1.642811238,90.63841,100.9263,0,82,1,3
308,39.429949,-100.367828,0.756652083,0,0.04597289,61170,0,1.178848472,462.98032,88.20066,0.939662,79,5,5
309,39.386341,-100.288804,0.091684588,0.05390681,0.771899641,26010,10980,1.225487704,612.734093,97.57098,0.405133,81,14,2
310,39.858427,-100.113843,0.817027686,0.007244298,0.070362933,64200,4020,1.127887913,17.419444,90.9566,0,81,3,3
311,39.928671,-100.178763,0.74008463,0.02237682,0.169977766,55260,10080,1.270021506,200.658586,112.0188,0,83,0,4
312,37.72353,-101.3089,0.719813687,0.010103905,0.008599068,77070,1920,1.258250725,6179.347638,3.362071,0.493821,82,1,3
313,38.65483074,-100.9324816,0.293210983,0,0.45135852,33270,0,1.79210488,273.563559,54.40032,0.651203,83,2,4
314,39.857145,-100.339364,0.369629151,0,0.551395166,47130,0,1.549484119,369.214534,107.4748,0,63,4,5
315,39.893592,-100.79655,0.264903984,0.015262253,0.524004013,65880,2460,1.834276233,172.209168,95.02366,0.1591,81,5,3
316,38.84329052,-100.9099073,0.454943007,0.103950104,0.302889095,39510,16980,1.784408404,152.994749,83.39524,0.554906,82,0,4
317,38.644507,-99.651029,0.066700136,0.468048483,0.305673077,11280,51810,1.700393183,218.739486,117.6157,0,69,4,2
318,38.11783232,-101.9391617,0.122413917,0.615863698,0.201660821,25440,20340,1.478451397,851.82947,88.16463,0.130938,66,0,2
319,39.809155,-99.961584,0.274741824,0.001219162,0.350473322,50760,600,1.977502712,1389.336468,73.13958,0,68,9,1
320,38.87130035,-102.0120364,0.67771494,0.09062925,0.044383993,58530,6420,1.403810237,1545.36628,46.72514,0.622265,81,0,3
321,37.01244,-101.017494,0.331684942,0.05991543,0.008456963,52920,8160,1.752739318,9902.471614,0,0.07771,75,0,1
322,37.30019,-101.651111,0.541347462,0.130665139,0.083196106,72540,8220,1.687337074,24.245895,28.96051,0.321882,66,4,4
323,37.534961,-101.968399,0.030511388,0.099770806,0.591892279,12720,13200,1.825747324,185.106941,26.19279,0.290159,79,3,4
324,37.016188,-100.245644,0.056499606,0.106546211,0.763103176,8340,11340,1.700377868,1953.495311,43.30418,0,54,8,3
325,39.191388,-101.093837,0.84399197,0,0,61710,0,0.93149409,1586.161634,51.28549,0.989187,84,17,5
326,37.81504621,-101.8878078,0.419036024,0.31504691,0.032657739,54300,30180,1.680903925,16.652732,43.12932,0.415404,70,9,4
327,37.750856,-100.161404,0.507853403,0.009395396,0.257118267,56100,1920,1.734755795,872.202381,88.22263,0,77,8,4
328,38.10323708,-101.711129,0.387910042,0.283483742,0.154132645,38850,26730,1.746725822,198.834801,53.22596,0.238785,53,2,2
329,39.471446,-102.049231,0.864508737,0,0.000429676,60630,0,0.925480745,3073.258854,16.80113,0.895731,82,10,5
330,39.749677,-101.448155,0.741547278,0,0.000931232,52440,0,1.065889066,1664.722827,36.16989,0.99527,69,25,6
331,38.951448,-99.648589,0.422075593,0,0.273542279,69060,0,1.772285657,42.575188,125.8073,0,81,1,2
332,38.74442984,-101.2840516,0.520031534,0.201677059,0.098760123,30960,14340,1.601447752,780.954564,65.74816,0.914815,65,0,1
